Absolute Path,Relative Path,Class Label
/Users/andreivragalev/Desktop/UTM/PD/labPD/lab3/random_dataset/2505.jpg,random_dataset/2505.jpg,leopard
/Users/andreivragalev/Desktop/UTM/PD/labPD/lab3/random_dataset/9983.jpg,random_dataset/9983.jpg,leopard
/Users/andreivragalev/Desktop/UTM/PD/labPD/lab3/random_dataset/3269.jpg,random_dataset/3269.jpg,leopard
/Users/andreivragalev/Desktop/UTM/PD/labPD/lab3/random_dataset/8964.jpg,random_dataset/8964.jpg,leopard
/Users/andreivragalev/Desktop/UTM/PD/labPD/lab3/random_dataset/3632.jpg,random_dataset/3632.jpg,leopard
/Users/andreivragalev/Desktop/UTM/PD/labPD/lab3/random_dataset/7381.jpg,random_dataset/7381.jpg,leopard
/Users/andreivragalev/Desktop/UTM/PD/labPD/lab3/random_dataset/9512.jpg,random_dataset/9512.jpg,leopard
/Users/andreivragalev/Desktop/UTM/PD/labPD/lab3/random_dataset/4614.jpg,random_dataset/4614.jpg,leopard
/Users/andreivragalev/Desktop/UTM/PD/labPD/lab3/random_dataset/3162.jpg,random_dataset/3162.jpg,leopard
/Users/andreivragalev/Desktop/UTM/PD/labPD/lab3/random_dataset/3910.jpg,random_dataset/3910.jpg,leopard
/Users/andreivragalev/Desktop/UTM/PD/labPD/lab3/random_dataset/9503.jpg,random_dataset/9503.jpg,tiger
/Users/andreivragalev/Desktop/UTM/PD/labPD/lab3/random_dataset/7887.jpg,random_dataset/7887.jpg,tiger
/Users/andreivragalev/Desktop/UTM/PD/labPD/lab3/random_dataset/8392.jpg,random_dataset/8392.jpg,tiger
/Users/andreivragalev/Desktop/UTM/PD/labPD/lab3/random_dataset/1273.jpg,random_dataset/1273.jpg,tiger
/Users/andreivragalev/Desktop/UTM/PD/labPD/lab3/random_dataset/1069.jpg,random_dataset/1069.jpg,tiger
/Users/andreivragalev/Desktop/UTM/PD/labPD/lab3/random_dataset/3818.jpg,random_dataset/3818.jpg,tiger
/Users/andreivragalev/Desktop/UTM/PD/labPD/lab3/random_dataset/2082.jpg,random_dataset/2082.jpg,tiger
/Users/andreivragalev/Desktop/UTM/PD/labPD/lab3/random_dataset/401.jpg,random_dataset/401.jpg,tiger
/Users/andreivragalev/Desktop/UTM/PD/labPD/lab3/random_dataset/3639.jpg,random_dataset/3639.jpg,tiger
/Users/andreivragalev/Desktop/UTM/PD/labPD/lab3/random_dataset/4097.jpg,random_dataset/4097.jpg,tiger
