Absolute Path,Relative Path,Class Label
/Users/andreivragalev/Desktop/UTM/PD/labPD/lab3/../lab2/dataset/leopard/8.jpg,../lab2/dataset/leopard/8.jpg,leopard
/Users/andreivragalev/Desktop/UTM/PD/labPD/lab3/../lab2/dataset/leopard/9.jpg,../lab2/dataset/leopard/9.jpg,leopard
/Users/andreivragalev/Desktop/UTM/PD/labPD/lab3/../lab2/dataset/leopard/10.jpg,../lab2/dataset/leopard/10.jpg,leopard
/Users/andreivragalev/Desktop/UTM/PD/labPD/lab3/../lab2/dataset/leopard/4.jpg,../lab2/dataset/leopard/4.jpg,leopard
/Users/andreivragalev/Desktop/UTM/PD/labPD/lab3/../lab2/dataset/leopard/5.jpg,../lab2/dataset/leopard/5.jpg,leopard
/Users/andreivragalev/Desktop/UTM/PD/labPD/lab3/../lab2/dataset/leopard/7.jpg,../lab2/dataset/leopard/7.jpg,leopard
/Users/andreivragalev/Desktop/UTM/PD/labPD/lab3/../lab2/dataset/leopard/6.jpg,../lab2/dataset/leopard/6.jpg,leopard
/Users/andreivragalev/Desktop/UTM/PD/labPD/lab3/../lab2/dataset/leopard/2.jpg,../lab2/dataset/leopard/2.jpg,leopard
/Users/andreivragalev/Desktop/UTM/PD/labPD/lab3/../lab2/dataset/leopard/3.jpg,../lab2/dataset/leopard/3.jpg,leopard
/Users/andreivragalev/Desktop/UTM/PD/labPD/lab3/../lab2/dataset/leopard/1.jpg,../lab2/dataset/leopard/1.jpg,leopard
/Users/andreivragalev/Desktop/UTM/PD/labPD/lab3/../lab2/dataset/tiger/8.jpg,../lab2/dataset/tiger/8.jpg,tiger
/Users/andreivragalev/Desktop/UTM/PD/labPD/lab3/../lab2/dataset/tiger/9.jpg,../lab2/dataset/tiger/9.jpg,tiger
/Users/andreivragalev/Desktop/UTM/PD/labPD/lab3/../lab2/dataset/tiger/10.jpg,../lab2/dataset/tiger/10.jpg,tiger
/Users/andreivragalev/Desktop/UTM/PD/labPD/lab3/../lab2/dataset/tiger/4.jpg,../lab2/dataset/tiger/4.jpg,tiger
/Users/andreivragalev/Desktop/UTM/PD/labPD/lab3/../lab2/dataset/tiger/5.jpg,../lab2/dataset/tiger/5.jpg,tiger
/Users/andreivragalev/Desktop/UTM/PD/labPD/lab3/../lab2/dataset/tiger/7.jpg,../lab2/dataset/tiger/7.jpg,tiger
/Users/andreivragalev/Desktop/UTM/PD/labPD/lab3/../lab2/dataset/tiger/6.jpg,../lab2/dataset/tiger/6.jpg,tiger
/Users/andreivragalev/Desktop/UTM/PD/labPD/lab3/../lab2/dataset/tiger/2.jpg,../lab2/dataset/tiger/2.jpg,tiger
/Users/andreivragalev/Desktop/UTM/PD/labPD/lab3/../lab2/dataset/tiger/3.jpg,../lab2/dataset/tiger/3.jpg,tiger
/Users/andreivragalev/Desktop/UTM/PD/labPD/lab3/../lab2/dataset/tiger/1.jpg,../lab2/dataset/tiger/1.jpg,tiger
